1591242367.86443448,5.82868063,0.23006581,-0.05709496
1591242367.87595129,5.83171401,0.23249356,-0.05687853
1591242367.88835335,5.83453795,0.23435059,-0.05715604
1591242367.89995408,5.83694301,0.23543444,-0.05784196
1591242367.91238451,5.83911420,0.23546062,-0.05892406
1591242367.92399192,5.84134299,0.23422319,-0.06058212
1591242367.93636322,5.84364159,0.23183383,-0.06322630
1591242367.94794965,5.84588608,0.22827859,-0.06684087
1591242367.96041632,5.84812708,0.22391702,-0.07124434
1591242367.97186160,5.85049026,0.21885731,-0.07642971
1591242367.98425317,5.85260560,0.21358641,-0.08169712
1591242367.99591112,5.85444518,0.20833646,-0.08693660
1591242368.00829720,5.85595838,0.20344081,-0.09173800
1591242368.01999402,5.85704223,0.19921188,-0.09561612
1591242368.03237796,5.85781192,0.19574566,-0.09810496
1591242368.04395843,5.85819240,0.19336328,-0.09940348
1591242368.05632758,5.85799518,0.19206301,-0.10002307
1591242368.06791592,5.85728832,0.19162843,-0.10045941
1591242368.08028007,5.85616084,0.19160225,-0.10124830
1591242368.09185886,5.85462320,0.19188150,-0.10263409
1591242368.10423636,5.85272952,0.19229514,-0.10441607
1591242368.11585045,5.85056182,0.19276638,-0.10624168
1591242368.12822580,5.84809392,0.19322366,-0.10813711
1591242368.13979864,5.84517224,0.19362683,-0.10995051
1591242368.15223074,5.84192418,0.19374202,-0.11176041
1591242368.16390705,5.83850683,0.19329696,-0.11372042
1591242368.17633748,5.83493065,0.19227769,-0.11603822
1591242368.18793035,5.83133004,0.19076274,-0.11914141
1591242368.20032310,5.82764565,0.18890571,-0.12286071
1591242368.21192622,5.82403456,0.18636975,-0.12702157
1591242368.22419620,5.82048980,0.18407813,-0.13160132
1591242368.23579597,5.81707768,0.18163642,-0.13648126
1591242368.24815798,5.81414029,0.17908125,-0.14101039
1591242368.25977135,5.81195339,0.17634458,-0.14510318
1591242368.27214718,5.81038608,0.17330421,-0.14870380
1591242368.28399348,5.80929002,0.17004917,-0.15214210
1591242368.29638505,5.80867741,0.16616407,-0.15502887
1591242368.30805779,5.80794437,0.16197528,-0.15704473
1591242368.32021737,5.80637706,0.15783711,-0.15767654
1591242368.33182168,5.80374162,0.15454891,-0.15639721
1591242368.34419727,5.80050229,0.15269187,-0.15349647
1591242368.35579014,5.79722805,0.15225903,-0.14975449
1591242368.36815882,5.79395556,0.15301127,-0.14559537
1591242368.38000154,5.79099024,0.15452971,-0.14130186
1591242368.39238715,5.78868990,0.15627155,-0.13685999
1591242368.40396833,5.78725175,0.15760149,-0.13240766
1591242368.41633153,5.78665135,0.15786678,-0.12818745
1591242368.42797327,5.78664612,0.15699411,-0.12442278
1591242368.44035721,5.78706500,0.15494859,-0.12166865
1591242368.45193982,5.78766713,0.15206356,-0.12031951
1591242368.46430564,5.78834258,0.14897432,-0.11985874
1591242368.47588420,5.78892377,0.14618703,-0.12022002
1591242368.48825359,5.78915939,0.14350621,-0.12119217
1591242368.49982738,5.78908958,0.14106100,-0.12233885
1591242368.51219058,5.78901976,0.13895439,-0.12334067
1591242368.52384281,5.78911925,0.13745864,-0.12374384
1591242368.53622174,5.78959921,0.13670640,-0.12303524
1591242368.54779196,5.79074066,0.13678320,-0.12120788
1591242368.56017208,5.79275826,0.13794908,-0.11848691
1591242368.57178640,5.79552112,0.14011154,-0.11509574
